GLN;DESCR1;DESCR2;ROLE/0/TYPE;ROLE/0/STREET;ROLE/0/STRNO;ROLE/0/ZIP;ROLE/0/CITY;ROLE/0/CTN;ROLE/0/CNTRY;Adresse;Y;X;lon;lat
7601001315198;Pharmacie Bornand;Pharmacies BENU SA;Pharm;rue Saint-Maurice;2;2000;Neuchâtel;NE;CH;rue Saint-Maurice 2 Neuchâtel;561376.0;204583.140625;6.9308762550354;46.99118423461914
7601001010857;Pharmacie Populaire;Officine Grosclaude;Pharm;cours de Rive;2;1204;Genève;GE;CH;cours de Rive 2 Genève;500715.9375;117509.734375;6.1523261070251465;46.20170593261719
7601001366442;Pharmacie Amavita Carl-Vogt;GaleniCare SA;Pharm;boulevard Carl-Vogt;18;1205;Genève;GE;CH;boulevard Carl-Vogt 18 Genève;499103.90625;117388.0625;6.131471633911133;46.20037078857422
7601001015029;Pharmacie de Vieusseux SA;;Pharm;avenue Ernest-Pictet;32;1203;Genève;GE;CH;avenue Ernest-Pictet 32 Genève;498566.21875;118804.46875;6.124197959899902;46.21302795410156
7601001012608;Pharmacie St-Pierre;Pharmacies BENU SA;Pharm;Grand-Rue;14;1630;Bulle;FR;CH;Grand-Rue 14 Bulle;570807.0625;163077.625;7.057512283325195;46.61831283569336
7601001366756;Pharmacie Amavita Portes-Rouges;GaleniCare SA;Pharm;avenue des Portes-Rouges;46;2000;Neuchâtel;NE;CH;avenue des Portes-Rouges 46 Neuchâtel;563257.0625;205994.578125;6.955489635467529;47.00398635864258
7601001017245;TopPharm Nordring-Apotheke;Nordring-Apotheke AG;Pharm;Nordring;38;3013;Bern;BE;CH;Nordring 38 Bern;600642.3125;200761.25;7.4470720291137695;46.95793151855469
7601001242166;Armeeapotheke;Armeestab;Indus;Worblentalstrasse;36;3063;Ittigen;BE;CH;Worblentalstrasse 36 Ittigen;602663.6875;202862.671875;7.473640441894531;46.976829528808594
7601002095914;Spitalzentrum Biel AG;Apotheke;Hosp;Vogelsang;84;2502;Biel/Bienne;BE;CH;Vogelsang 84 Biel/Bienne;585284.9375;221785.75;7.244625091552734;47.14688491821289
7601001366763;Amavita Apotheke Münchenbuchsee;GaleniCare AG;Pharm;Oberdorfstrasse;5;3053;Münchenbuchsee;BE;CH;Oberdorfstrasse 5 Münchenbuchsee;600855.8125;207797.53125;7.449889659881592;47.02122497558594
7601001365285;Dorfplatz Apotheke AG;;Pharm;Dorfplatz;2;3110;Münsingen;BE;CH;Dorfplatz 2 Münsingen;609482.375;191581.15625;7.563021183013916;46.87528610229492
7601001365346;Apotheke Drogerie Strättligen AG;;Pharm;Schulstrasse;27;3604;Thun;BE;CH;Schulstrasse 27 Thun;614079.25;176543.625;7.622858047485352;46.73993682861328
7601001365766;Dorf Apotheke AG;;Pharm;Oberdorfstrasse;17;3612;Steffisburg;BE;CH;Oberdorfstrasse 17 Steffisburg;614903.8125;180972.9375;7.633791446685791;46.779762268066406
7601001017511;Apotheke Hanns Busse AG;;Pharm;Hauptstrasse;9;3800;Unterseen;BE;CH;Hauptstrasse 9 Unterseen;631423.0625;170567.359375;7.849387168884277;46.685585021972656
7601001018495;Galerie Apotheke AG;;Pharm;Via dal Bagn;52A;7500;St. Moritz;GR;CH;Via dal Bagn 52A St. Moritz;784099.8125;152285.359375;9.837085723876953;46.49655532836914
7601001011533;Pharmacie Gouda;Sobda SA;Pharm;chemin De-La-Montagne;136;1224;Chêne-Bougeries;GE;CH;chemin De-La-Montagne 136 Chêne-Bougeries;504376.34375;117754.0859375;6.199690818786621;46.20443344116211
7601001019676;pharmacieplus du grand-pré;Pharmacie du Grand-Pré SA;Pharm;rue du Grand-Pré;76;1202;Genève;GE;CH;rue du Grand-Pré 76 Genève;499104.09375;119123.5078125;6.13109827041626;46.215980529785156
7601001029804;Pharmacie du Grand-Saconnex SA;;Pharm;route de Ferney;169;1218;Le Grand-Saconnex;GE;CH;route de Ferney 169 Le Grand-Saconnex;498513.8125;121083.5859375;6.12302303314209;46.2335205078125
7601002000079;HUG Hôpitaux Universitaires de Genève;Pharmacie;Hosp;rue Gabrielle-Perret-Gentil;4;1205;Genève;GE;CH;rue Gabrielle-Perret-Gentil 4 Genève;500449.21875;116622.8359375;6.1490607261657715;46.193687438964844
7601001017009;Pharmacie de Meyrin;Dynapharm Sàrl;Pharm;avenue de Feuillasse;24;1217;Meyrin;GE;CH;avenue de Feuillasse 24 Meyrin;495411.09375;120970.9765625;6.082832336425781;46.232032775878906
7601001027336;pharmacieplus du mortier d'or;Pharmacie de Coutance SA;Pharm;rue de Coutance;12;1201;Genève;GE;CH;rue de Coutance 12 Genève;499983.34375;118031.890625;6.142724990844727;46.20629119873047
7601001306318;Pharmacie du Petit-Saconnex;Scherz Anastasia;Pharm;chemin de la Tourelle;4;1209;Genève;GE;CH;chemin de la Tourelle 4 Genève;498749.71875;120055.5625;6.1263041496276855;46.224308013916016
7601001026803;Pharmacie Plaza SA;;Pharm;rue du Cendrier;21;1201;Genève;GE;CH;rue du Cendrier 21 Genève;500186.40625;118183.546875;6.145323276519775;46.20768737792969
7601001012981;PP Pharmacie Principale SA;Officine Balexert;Pharm;avenue Louis-Casaï;27;1209;Genève;GE;CH;avenue Louis-Casaï 27 Genève;497771.1875;119571.390625;6.113728046417236;46.21980667114258
7601001324718;Pharmacie de Versoix;Pharmacies de Versoix SA;Pharm;chemin de l'Ancien-Péage;1;1290;Versoix;GE;CH;chemin de l'Ancien-Péage 1 Versoix;502015.875;125651.21875;6.167450904846191;46.275123596191406
